"symbol","company_name"
"CRS","Carpenter Technology Corporation Common Stock"
"CRSA","Crescent Acquisition Corp - Class A Common Stock"
"CRSP","CRISPR Therapeutics AG - Common Shares"
"CRSR","Corsair Gaming, Inc. - Common Stock"
"CRT","Cross Timbers Royalty Trust Common Stock"
"CRTD","Creatd Inc. - Common Stock"
"CRTO","Criteo S.A. - American Depositary Shares"
"CRTX","Cortexyme, Inc. - Common Stock"
"CRU","Crucible Acquisition Corporation Class A Common Stock"
"CRUS","Cirrus Logic, Inc. - Common Stock"
"CRVL","CorVel Corp. - Common Stock"
"CRVS","Corvus Pharmaceuticals, Inc. - Common Stock"
"CRWD","CrowdStrike Holdings, Inc. - Class A Common Stock"
"CRWS","Crown Crafts, Inc. - Common Stock"
"CRY","CryoLife, Inc. Common Stock"
"CS","Credit Suisse Group American Depositary Shares"
"CSAN","Cosan S.A. ADS"
"CSBR","Champions Oncology, Inc. - Common Stock"
"CSCO","Cisco Systems, Inc. - Common Stock"
"CSCW","Color Star Technology Co. Ltd. - Ordinary Shares"
"CSGP","CoStar Group, Inc. - Common Stock"
"CSGS","CSG Systems International, Inc. - Common Stock"
"CSII","Cardiovascular Systems, Inc. - Common Stock"
"CSIQ","Canadian Solar Inc. - Common Shares"
"CSL","Carlisle Companies Incorporated Common Stock"
"CSLT","Castlight Health, Inc. Class B Common Stock"
"CSOD","Cornerstone OnDemand, Inc. - Common Stock"
"CSPI","CSP Inc. - Common Stock"
"CSPR","Casper Sleep Inc. Common Stock"
"CSQ","Calamos Strategic Total Return Fund - Common Stock"
"CSR","D/B/A Centerspace Common Stock"
"CSSE","Chicken Soup for the Soul Entertainment, Inc. - Class A Common Stock"
"CSSEN","Chicken Soup for the Soul Entertainment, Inc. - 9.50% Notes due 2025"
"CSSEP","Chicken Soup for the Soul Entertainment, Inc. - 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock"
"CSTA","Constellation Acquisition Corp I Class A Ordinary Shares"
"CSTE","Caesarstone Ltd. - Ordinary Shares"
"CSTL","Castle Biosciences, Inc. - Common stock"
"CSTM","Constellium SE Ordinary Shares (France)"
"CSTR","CapStar Financial Holdings, Inc. - Common Stock"
"CSU","Capital Senior Living Corporation Common Stock"
"CSV","Carriage Services, Inc. Common Stock"
"CSWC","Capital Southwest Corporation - Common Stock"
"CSWI","CSW Industrials, Inc. - Common Stock"
"CSX","CSX Corporation - Common Stock"
"CTAC","Cerberus Telecom Acquisition Corp. Class A Ordinary Shares"
"CTAQ","Carney Technology Acquisition Corp. II - Class A Common Stock"
"CTAS","Cintas Corporation - Common Stock"
"CTB","Cooper Tire & Rubber Company Common Stock"
"CTBB","Qwest Corporation 6.5% Notes due 2056"
"CTBI","Community Trust Bancorp, Inc. - Common Stock"
"CTDD","Qwest Corporation 6.75% Notes due 2057"
"CTEK","CynergisTek, Inc. Common Stock"
"CTG","Computer Task Group, Incorporated - Common Stock"
"CTHR","Charles & Colvard Ltd. - Common Stock"
"CTIB","Yunhong CTI Ltd. - Common Stock"
"CTIC","CTI BioPharma Corp. - Common Stock"
"CTK","CooTek (Cayman) Inc. American Depositary Shares, each representing 50 Class A Ordinary Shares"
"CTLP","Cantaloupe, Inc. - Common Stock"
"CTLT","Catalent, Inc. Common Stock"
"CTMX","CytomX Therapeutics, Inc. - Common Stock"
"CTO","CTO Realty Growth, Inc. Common Stock"
"CTOS","Custom Truck One Source, Inc. Common Stock"
"CTR","ClearBridge MLP and Midstream Total Return Fund Inc. Common Stock"
"CTRE","CareTrust REIT, Inc. - Common Stock"
"CTRM","Castor Maritime Inc. - Common Shares"
"CTRN","Citi Trends, Inc. - Common Stock"
"CTS","CTS Corporation Common Stock"
"CTSH","Cognizant Technology Solutions Corporation - Class A Common Stock"
"CTSO","Cytosorbents Corporation - Common Stock"
"CTT","CatchMark Timber Trust, Inc. Class A Common Stock"
"CTVA","Corteva, Inc. Common Stock "
"CTXR","Citius Pharmaceuticals, Inc. - Common Stock"
"CTXS","Citrix Systems, Inc. - Common Stock"
"CUB","Cubic Corporation Common Stock"
"CUBA","The Herzfeld Caribbean Basin Fund, Inc. - Closed End FUnd"
"CUBB","Customers Bancorp, Inc 5.375% Subordinated Notes Due 2034"
"CUBE","CubeSmart Common Shares"
"CUBI","Customers Bancorp, Inc Common Stock"
"CUE","Cue Biopharma, Inc. - Common Stock"
"CUEN","Cuentas, Inc. - Common Stock"
"CUK","Carnival Plc ADS ADS"
"CULP","Culp, Inc. Common Stock"
"CURI","CuriosityStream Inc.  - Class A Common Stock"
"CURO","CURO Group Holdings Corp. Common Stock"
"CUTR","Cutera, Inc. - Common Stock"
"CUZ","Cousins Properties Incorporated Common Stock"
"CVA","Covanta Holding Corporation Common Stock"
"CVAC","CureVac N.V. - Ordinary Shares"
"CVBF","CVB Financial Corporation - Common Stock"
"CVCO","Cavco Industries, Inc. - Common Stock"
"CVCY","Central Valley Community Bancorp - Common Stock"
"CVE","Cenovus Energy Inc Common Stock"
"CVEO","Civeo Corporation (Canada) Common Shares"
"CVET","Covetrus, Inc. - Common Stock"
"CVGI","Commercial Vehicle Group, Inc. - Common Stock"
"CVGW","Calavo Growers, Inc. - Common Stock"
"CVI","CVR Energy Inc. Common Stock"
"CVII","Churchill Capital Corp VII Class A Common Stock"
"CVLG","Covenant Logistics Group, Inc. - Class A Common Stock"
"CVLT","Commvault Systems, Inc. - Common Stock"
"CVLY","Codorus Valley Bancorp, Inc - Common Stock"
"CVM","Cel-Sci Corporation Common Stock"
"CVNA","Carvana Co. Class A Common Stock"
"CVR","Chicago Rivet & Machine Co. Common Stock"
"CVS","CVS Health Corporation Common Stock"
"CVU","CPI Aerostructures, Inc. Common Stock"
"CVV","CVD Equipment Corporation - Common Stock"
"CVX","Chevron Corporation Common Stock"
"CW","Curtiss-Wright Corporation Common Stock"
"CWBC","Community West Bancshares - Common Stock"
"CWBR","CohBar, Inc. - Common Stock"
"CWCO","Consolidated Water Co. Ltd. - Ordinary Shares"
"CWEN","Clearway Energy, Inc. Class C Common Stock"
"CWH","Camping World Holdings, Inc. Class A Commom Stock"
"CWK","Cushman & Wakefield plc Ordinary Shares"
"CWST","Casella Waste Systems, Inc. - Class A Common Stock"
"CWT","California Water Service Group Common Stock"
"CX","Cemex, S.A.B. de C.V. Sponsored ADR"
"CXDC","China XD Plastics Company Limited - Common Stock"
"CXDO","Crexendo, Inc. - Common Stock"
"CXE","MFS High Income Municipal Trust Common Stock"
"CXH","MFS Investment Grade Municipal Trust Common Stock"
"CXP","Columbia Property Trust, Inc. Common Stock"
"CXW","CoreCivic, Inc. Common Stock"
"CYAD","Celyad Oncology SA - American Depositary Shares"
"CYAN","Cyanotech Corporation - Common Stock"
"CYBE","CyberOptics Corporation - Common Stock"
"CYBR","CyberArk Software Ltd. - Ordinary Shares"
"CYCC","Cyclacel Pharmaceuticals, Inc. - Common Stock"
"CYCCP","Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock"
"CYCN","Cyclerion Therapeutics, Inc. - Common Stock "
"CYD","China Yuchai International Limited Common Stock"
"CYH","Community Health Systems, Inc. Common Stock"
"CYRN","CYREN Ltd. - Ordinary Shares"
"CYRX","CryoPort, Inc. - Common Stock"
"CYTH","Cyclo Therapeutics, Inc. - Common Stock"
"CYTK","Cytokinetics, Incorporated - Common Stock"
"CZNC","Citizens & Northern Corp - Common Stock"
"CZR","Caesars Entertainment, Inc. - Common Stock"
"CZWI","Citizens Community Bancorp, Inc. - Common Stock"
"D","Dominion Energy, Inc. Common Stock"
"DAC","Danaos Corporation Common Stock"
"DADA","Dada Nexus Limited - American Depositary Shares"
"DAIO","Data I/O Corporation - Common Stock"
"DAKT","Daktronics, Inc. - Common Stock"
"DAL","Delta Air Lines, Inc. Common Stock"
"DAN","Dana Incorporated Common Stock "
"DAO","Youdao, Inc. American Depositary Shares, each representing one Class A Ordinary Share"
"DAR","Darling Ingredients Inc. Common Stock"
"DARE","Dare Bioscience, Inc. - Common Stock"
"DASH","DoorDash, Inc. Class A Common Stock"
"DAVA","Endava plc American Depositary Shares (each representing one Class A Ordinary Share)"
"DB","Deutsche Bank AG Common Stock"
"DBD","Diebold Nixdorf Incorporated Common Stock"
"DBDR","Roman DBDR Tech Acquisition Corp. - Class A Common Stock"
"DBI","Designer Brands Inc. Class A Common Stock"
"DBL","DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest"
"DBTX","Decibel Therapeutics, Inc. - Common Stock"
"DBVT","DBV Technologies S.A. - American Depositary Shares"
"DBX","Dropbox, Inc. - Class A Common Stock"
"DCBO","Docebo Inc. - Common Shares"
"DCF","BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund, Inc. Common Stock"
"DCI","Donaldson Company, Inc. Common Stock"
"DCO","Ducommun Incorporated Common Stock"
"DCOM","Dime Community Bancshares, Inc. - Common Stock"
"DCOMP","Dime Community Bancshares, Inc. - Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A"
"DCP","DCP Midstream,  LP Common Units "
"DCPH","Deciphera Pharmaceuticals, Inc. - Common Stock"
"DCRB","Decarbonization Plus Acquisition Corporation - Class A Common Stock"
"DCRN","Decarbonization Plus Acquisition Corporation II - Class A Common stock"
"DCT","Duck Creek Technologies, Inc. - Common Stock"
"DCTH","Delcath Systems, Inc. - Common Stock"
"DCUE","Dominion Energy, Inc. 2019 Series A Corporate Units"
"DD","DuPont de Nemours, Inc. Common Stock"
"DDD","3D Systems Corporation Common Stock"
"DDF","Delaware Investments Dividend & Income Fund, Inc. Common Stock"
"DDMX","DD3 Acquisition Corp. II - Class A Common Stock"
"DDOG","Datadog, Inc. - Class A Common Stock"
"DDS","Dillard's, Inc. Common Stock"
"DDT","Dillard's Capital Trust I"
"DE","Deere & Company Common Stock"
"DEA","Easterly Government Properties, Inc. Common Stock"
"DECK","Deckers Outdoor Corporation Common Stock"
"DEH","D8 Holdings Corp. Class A Ordinary Shares"
"DEI","Douglas Emmett, Inc. Common Stock"
"DELL","Dell Technologies Inc. Class C Common Stock "
"DEN","Denbury Inc. Common Stock"
"DENN","Denny's Corporation - Common Stock"
"DEO","Diageo plc Common Stock"
"DESP","Despegar.com, Corp. Ordinary Shares"
"DEX","Delaware Enhanced Global Dividend Common Shares of Beneficial Interest"
"DFFN","Diffusion Pharmaceuticals Inc. - Common Stock"
"DFH","Dream Finders Homes, Inc. - Class A Common Stock"
"DFHT","Deerfield Healthcare Technology Acquisitions Corp. - Class A Common Stock"
"DFIN","Donnelley Financial Solutions, Inc. Common Stock "
"DFNS","LGL Systems Acquisition Corp. Common Stock"
"DFP","Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock"
"DFPH","DFP Healthcare Acquisitions Corp. - Class A Common Stock"
"DFS","Discover Financial Services Common Stock"
"DFVL","iPath US Treasury 5 Year Bull ETN"
"DFVS","iPath US Treasury 5 Year Bear ETN"
"DG","Dollar General Corporation Common Stock"
"DGICA","Donegal Group, Inc. - Class A Common Stock"
"DGICB","Donegal Group, Inc. - Class B Common Stock"
"DGII","Digi International Inc. - Common Stock"
"DGLY","Digital Ally, Inc. - Common Stock"
"DGNR","Dragoneer Growth Opportunities Corp. Class A Ordinary Shares"
"DGNS","Dragoneer Growth Opportunities Corp. II - Class A Ordinary Shares"
"DGNU","Dragoneer Growth Opportunities Corp. III - Class A Ordinary Shares"
"DGP","DB Gold Double Long ETN due February 15, 2038"
"DGX","Quest Diagnostics Incorporated Common Stock"
"DGZ","DB Gold Short ETN due February 15, 2038"
"DHBC","DHB Capital Corp. - Class A common stock"
"DHC","Diversified Healthcare Trust  - Common Shares of Beneficial Interest"
"DHCA","DHC Acquisition Corp. - Class A ordinary share"
"DHCNI","Diversified Healthcare Trust  - 5.625% Senior Notes due 2042"
"DHCNL","Diversified Healthcare Trust  - 6.25% Senior Notes Due 2046"
"DHF","BNY Mellon High Yield Strategies Fund Common Stock"
"DHHC","DiamondHead Holdings Corp. - Class A Common Stock"
"DHI","D.R. Horton, Inc. Common Stock"
"DHIL","Diamond Hill Investment Group, Inc. - Class A Common Stock"
"DHR","Danaher Corporation Common Stock"
"DHT","DHT Holdings, Inc."
"DHX","DHI Group, Inc. Common Stock"
"DHY","Credit Suisse High Yield Bond Fund Common Stock"
"DIAX","Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest"
"DIN","Dine Brands Global, Inc. Common Stock"
"DIOD","Diodes Incorporated - Common Stock"
"DIS","Walt Disney Company (The) Common Stock"
"DISCA","Discovery, Inc. - Series A Common Stock"
"DISCB","Discovery, Inc. - Series B Common Stock"
"DISCK","Discovery, Inc. - Series C Common Stock"
"DISH","DISH Network Corporation - Class A Common Stock"
"DIT","AMCON Distributing Company Common Stock"
"DJCO","Daily Journal Corp. (S.C.) - Common Stock"
"DJP","iPath Bloomberg Commodity Index Total Return ETN"
"DK","Delek US Holdings, Inc. Common Stock"
"DKL","Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests"
"DKNG","DraftKings Inc. - Class A Common Stock"
"DKS","Dick's Sporting Goods Inc Common Stock"
"DLA","Delta Apparel, Inc. Common Stock"
"DLB","Dolby Laboratories Common Stock"
"DLCA","Deep Lake Capital Acquisition Corp. - Class A Ordinary Shares"
"DLHC","DLH Holdings Corp. - Common Stock"
"DLNG","Dynagas LNG Partners LP Common Units"
"DLPN","Dolphin Entertainment, Inc. - Common Stock"
"DLR","Digital Realty Trust, Inc. Common Stock"
"DLTH","Duluth Holdings Inc. - Class B Common Stock"
"DLTR","Dollar Tree, Inc. - Common Stock"
"DLX","Deluxe Corporation Common Stock"
"DLY","DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest"
"DM","Desktop Metal, Inc. Class A Common Stock"
"DMAC","DiaMedica Therapeutics Inc. - Common Stock"
"DMB","BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock"
"DMF","BNY Mellon Municipal Income Inc. Common Stock"
"DMLP","Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests"
"DMO","Western Asset Mortgage Opportunity Fund Inc. Common Stock"
"DMRC","Digimarc Corporation - Common Stock"
"DMS","Digital Media Solutions, Inc. Class A Ordinary Shares"
"DMTK","DermTech, Inc. - Common Stock"
"DMYI","dMY Technology Group, Inc. III Class A Common Stock"
"DMYQ","dMY Technology Group, Inc. IV Class A Common Stock"
"DNB","Dun & Bradstreet Holdings, Inc. Common Stock"
"DNLI","Denali Therapeutics Inc. - Common Stock"
"DNMR","Danimer Scientific, Inc. Common Stock"
"DNN","Denison Mines Corp Ordinary Shares (Canada)"
"DNOW","NOW Inc. Common Stock"
"DNP","DNP Select Income Fund, Inc. Common Stock"
"DNZ","D and Z Media Acquisition Corp. Class A Common Stock"
"DOC","Physicians Realty Trust Common Shares of Beneficial Interest"
"DOCN","DigitalOcean Holdings, Inc. Common Stock"
"DOCU","DocuSign, Inc. - Common Stock"
"DOGZ","Dogness (International) Corporation - Class A Common Stock"
"DOMO","Domo, Inc. - Class B Common Stock"
"DOOO","BRP Inc. - Common Subordinate Voting Shares"
"DOOR","Masonite International Corporation Ordinary Shares (Canada)"
"DORM","Dorman Products, Inc. - Common Stock"
"DOV","Dover Corporation Common Stock"
"DOW","Dow Inc. Common Stock "
"DOX","Amdocs Limited - Ordinary Shares"
"DOYU","DouYu International Holdings Limited - American Depositary Shares"
"DPG","Duff & Phelps Utility and Infrastructure Fund Inc."
"DPW","Ault Global Holdings, Inc. Common Stock"
"DPZ","Domino's Pizza Inc Common Stock"
"DQ","DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares"
"DRD","DRDGOLD Limited American Depositary Shares"
"DRE","Duke Realty Corporation Common Stock"
"DRH","Diamondrock Hospitality Company Common Stock"
"DRI","Darden Restaurants, Inc. Common Stock"
"DRIO","DarioHealth Corp. - Common Stock"
"DRNA","Dicerna Pharmaceuticals, Inc. - Common Stock"
"DRQ","Dril-Quip, Inc. Common Stock"
"DRRX","DURECT Corporation - Common Stock"
"DRTT","DIRTT Environmental Solutions Ltd. - Common Shares"
"DRUA","Dominion Energy, Inc. 2016 Series A 5.25% Enhanced Junior Subordinated Notes due 2076"
"DRVN","Driven Brands Holdings Inc. - Common Stock"
"DS","Drive Shack Inc."
"DSAC","Duddell Street Acquisition Corp. - Class A Ordinary Shares"
"DSE","Duff & Phelps Select MLP and Midstream Energy Fund Inc."
"DSEY","Diversey Holdings, Ltd. - Ordinary Shares"
"DSGN","Design Therapeutics, Inc. - Common Stock"
"DSGX","The Descartes Systems Group Inc. - Common Stock"
"DSKE","Daseke, Inc. - Common Stock"
"DSL","DoubleLine Income Solutions Fund Common Shares of Beneficial Interests"
"DSM","BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock"
"DSP","Viant Technology Inc. - common stock"
"DSPG","DSP Group, Inc. - Common Stock"
"DSS","Document Security Systems, Inc. Common Stock"
"DSSI","Diamond S Shipping Inc. Common Stock "
"DSU","Blackrock Debt Strategies Fund, Inc. Common Stock"
"DSWL","Deswell Industries, Inc. - Common Shares"
"DSX","Diana Shipping inc. common stock"
"DT","Dynatrace, Inc. Common Stock"
"DTB","DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080"
"DTE","DTE Energy Company Common Stock"
"DTEA","DAVIDsTEA Inc. - Common Stock"
"DTF","DTF Tax-Free Income, Inc. Common Stock"
"DTIL","Precision BioSciences, Inc. - Common Stock"
"DTJ","DTE Energy Company 2016 Series B 5.375% Junior Subordinated Debentures due 2076"
"DTOC","Digital Transformation Opportunities Corp. - Class A Common Stock"
"DTP","DTE Energy Company 6.25% Corporate Units"
"DTSS","Datasea Inc. - Common Stock"
"DTW","DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077"
"DTY","DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076"
"DUK","Duke Energy Corporation (Holding Company) Common Stock"
"DUKB","Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078"
"DUKH","Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073"
"DUNE","Dune Acquisition Corporation - Class A Common Stock"
"DUO","Fangdd Network Group Ltd. - American Depositary Shares"
"DUOT","Duos Technologies Group, Inc. - Common Stock"
"DV","DoubleVerify Holdings, Inc. Common Stock"
"DVA","DaVita Inc. Common Stock"
"DVAX","Dynavax Technologies Corporation - Common Stock"
"DVD","Dover Motorsports, Inc. Common Stock"
"DVN","Devon Energy Corporation Common Stock"
"DWIN","Delwinds Insurance Acquisition Corp. Class A Common Stock"
"DWSN","Dawson Geophysical Company - Common Stock"
"DX","Dynex Capital, Inc. Common Stock"
"DXC","DXC Technology Company Common Stock "
"DXCM","DexCom, Inc. - Common Stock"
"DXF","Dunxin Financial Holdings Limited American Depositary Shares"
"DXPE","DXP Enterprises, Inc. - Common Stock"
"DXR","Daxor Corporation Common Stock"
"DXYN","The Dixie Group, Inc. - Common Stock"
"DY","Dycom Industries, Inc. Common Stock"
"DYAI","Dyadic International, Inc. - Common Stock"
"DYFN","Angel Oak Dynamic Financial Strategies Income Term Trust Common Shares of Beneficial Interest"
"DYN","Dyne Therapeutics, Inc. - Common Stock"
"DYNT","Dynatronics Corporation - Common Stock"
"DZSI","DZS Inc. - Common Stock"
"DZZ","DB Gold Double Short ETN due February 15, 2038"
"E","ENI S.p.A. Common Stock"
"EA","Electronic Arts Inc. - Common Stock"
"EAC","Edify Acquisition Corp. - Class A Common Stock"
"EAD","Wells Fargo Income Opportunities Fund Common Shares"
"EAF","GrafTech International Ltd. Common Stock"
"EAI","Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066"
"EAR","Eargo, Inc. - Common Stock"
"EARN","Ellington Residential Mortgage REIT Common Shares of Beneficial Interest"
"EARS","Auris Medical Holding Ltd. - Common Shares"
"EAST","Eastside Distilling, Inc. - Common Stock"
"EAT","Brinker International, Inc. Common Stock"
"EB","Eventbrite, Inc. Class A Common Stock"
"EBAC","European Biotech Acquisition Corp. - Class A Ordinary Shares"
"EBAY","eBay Inc. - Common Stock"
"EBC","Eastern Bankshares, Inc. - Common Stock"
"EBET","Esports Technologies, Inc. - Common Stock"
"EBF","Ennis, Inc. Common Stock"
"EBIX","Ebix, Inc. - Common Stock"
"EBMT","Eagle Bancorp Montana, Inc. - Common Stock"
"EBON","Ebang International Holdings Inc. - Class A Ordinary Shares"
"EBR","Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)"
"EBS","Emergent Biosolutions, Inc. Common Stock"
"EBSB","Meridian Bancorp, Inc. - Common Stock"
"EBTC","Enterprise Bancorp Inc - Common Stock"
"EC","Ecopetrol S.A. American Depositary Shares"
"ECC","Eagle Point Credit Company Inc. Common Stock"
"ECCB","Eagle Point Credit Company Inc. 7.75% Series B Term Preferred Stock due 2026"
"ECCW","Eagle Point Credit Company Inc. 6.75% Notes due 2031"
"ECCX","Eagle Point Credit Company Inc. 6.6875% Notes due 2028"
"ECCY","Eagle Point Credit Company Inc. 6.75% Notes due 2027"
"ECF","Ellsworth Growth and Income Fund Ltd."
"ECHO","Echo Global Logistics, Inc. - Common Stock"
"ECL","Ecolab Inc. Common Stock"
"ECOL","US Ecology, Inc. - Common Stock"
"ECOLW","US Ecology, Inc. - warrant"
"ECOM","ChannelAdvisor Corporation Common Stock"
"ECOR","electroCore, Inc. - Common Stock"
"ECPG","Encore Capital Group Inc - Common Stock"
"ED","Consolidated Edison, Inc. Common Stock"
"EDAP","EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share"
"EDD","Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock"
"EDF","Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest"
"EDI","Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interests"
"EDIT","Editas Medicine, Inc. - Common Stock"
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares"
"EDR","Endeavor Group Holdings, Inc. Class A Common Stock"
"EDRY","EuroDry Ltd. - Common Shares"
"EDSA","Edesa Biotech, Inc. - Common Shares"
"EDTK","Skillful Craftsman Education Technology Limited - Ordinary Share"
"EDTX","EdtechX Holdings Acquisition Corp. II - Class A common stock"
"EDU","New Oriental Education & Technology Group, Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands)"
"EDUC","Educational Development Corporation - Common Stock"
"EEA","The European Equity Fund, Inc. Common Stock"
"EEFT","Euronet Worldwide, Inc. - Common Stock"
"EEH","Aktiebolaget Svensk Exportkredit (Swed Ex Cred Corp) Elements (SM) Linked to the SPECTRUM Large Cap U.S. Sector Momentum Index developed by BNP Paribas due August 8, 2022, Medium-Term Notes, Series D"
"EEIQ","Elite Education Group International Ltd. - Common Stock"
"EEX","Emerald Holding, Inc. Common Stock"
"EFC","Ellington Financial Inc. Common Stock "
"EFF","Eaton vance Floating-Rate Income Plus Fund Common Shares of Beneficial Interest"
"EFL","Eaton Vance Floating-Rate 2022 Target Term Trust Common Shares of Beneficial Interest"
"EFOI","Energy Focus, Inc. - Common Stock"
"EFR","Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest"
"EFSC","Enterprise Financial Services Corporation - Common Stock"
"EFT","Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest"
"EFX","Equifax, Inc. Common Stock"
"EGAN","eGain Corporation - Common Stock"
"EGBN","Eagle Bancorp, Inc. - Common Stock"
"EGF","Blackrock Enhanced Government Fund, Inc. Common Stock"
"EGHT","8x8 Inc Common Stock"
"EGLE","Eagle Bulk Shipping Inc. - Common Stock"
"EGLX","Enthusiast Gaming Holdings Inc. - Common Stock"
"EGO","Eldorado Gold Corporation Ordinary Shares"
"EGP","EastGroup Properties, Inc. Common Stock"
"EGRX","Eagle Pharmaceuticals, Inc. - Common Stock"
"EGY","VAALCO Energy, Inc.  Common Stock"
"EH","EHang Holdings Limited - ADS"
"EHC","Encompass Health Corporation Common Stock"
"EHI","Western Asset Global High Income Fund Inc Common Stock"
"EHT","Eaton Vance 2021 Target Term Trust Common Shares of Beneficial Interest"
"EHTH","eHealth, Inc. - Common Stock"
"EIC","Eagle Point Income Company Inc. Common Stock"
"EIG","Employers Holdings Inc Common Stock"
"EIGR","Eiger BioPharmaceuticals, Inc. - Common Stock"
"EIM","Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value"
"EIX","Edison International Common Stock"
"EJFA","EJF Acquisition Corp. - Class A Ordinary Share"
"EKSO","Ekso Bionics Holdings, Inc. - Common Stock"
"EL","Estee Lauder Companies, Inc. (The) Common Stock"
"ELA","Envela Corporation Common Stock"
"ELAN","Elanco Animal Health Incorporated Common Stock"
"ELAT","Elanco Animal Health Incorporated 5.00% Tangible Equity Units"
"ELC","Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds, 4.875 % Series due September 1, 2066"
"ELDN","Eledon Pharmaceuticals, Inc. - Common Stock"
"ELF","e.l.f. Beauty, Inc. Common Stock"
"ELLO","Ellomay Capital Ltd Ordinary Shares (Israel)"
"ELMD","Electromed, Inc. Common Stock"
"ELOX","Eloxx Pharmaceuticals, Inc. - Common Stock"
"ELP","Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares)"
"ELS","Equity Lifestyle Properties, Inc. Common Stock"
"ELSE","Electro-Sensors, Inc. - Common Stock"
"ELTK","Eltek Ltd. - Ordinary Shares"
"ELVT","Elevate Credit, Inc. Common Stock"
"ELY","Callaway Golf Company Common Stock"
"ELYS","Elys Game Technology, Corp.  - Common Stock"
"EM","Smart Share Global Limited - American Depositary Shares"
"EMAN","eMagin Corporation Common Stock"
"EMCF","Emclaire Financial Corp - Common Stock"
"EMD","Western Asset Emerging Markets Debt Fund Inc Common Stock"
"EME","EMCOR Group, Inc. Common Stock"
"EMF","Templeton Emerging Markets Fund Common Stock"
"EMKR","EMCORE Corporation - Common Stock"
"EML","Eastern Company (The) - Common Stock"
"EMN","Eastman Chemical Company Common Stock"
"EMO","ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock"
"EMP","Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066"
"EMPW","Empower Ltd. Class A Ordinary Shares"
"EMR","Emerson Electric Company Common Stock"
"EMX","EMX Royalty Corporation Common Shares (Canada)"
"ENB","Enbridge Inc Common Stock"
"ENBA","Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078"
"ENBL","Enable Midstream Partners, LP Common Units representing limited partner interests"
"ENDP","Endo International plc - Ordinary Shares"
"ENFA","890 5th Avenue Partners, Inc. - Class A Common Stock"
"ENG","ENGlobal Corporation - Common Stock"
"ENIA","Enel Americas S.A. American Depositary Shares"
"ENIC","Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock)"
"ENJ","Entergy New Orleans, LLC First Mortgage Bonds, 5.0% Series due December 1, 2052"
"ENLC","EnLink Midstream, LLC Common Units representing Limited Partner Interests"
"ENLV","Enlivex Therapeutics Ltd. - Ordinary Shares"
"ENNV","ECP Environmental Growth Opportunities Corp. - Class A Common Stock"
"ENO","Entergy New Orleans, LLC First Mortgage Bonds, 5.50% Series due April 1, 2066"
"ENOB","Enochian Biosciences, Inc. - Common Stock"
"ENPC","Executive Network Partnering Corporation Class A Common Stock"
"ENPH","Enphase Energy, Inc. - Common Stock"
"ENR","Energizer Holdings, Inc. Common Stock"
"ENS","EnerSys Common Stock"
"ENSG","The Ensign Group, Inc. - Common Stock"
"ENSV","Enservco Corporation Common Stock"
"ENTA","Enanta Pharmaceuticals, Inc. - Common Stock"
